City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Nkayi,CG,-4.18,13.29,75.94,70,70,4.41,broken clouds
253,Harqalah,TN,36.03,10.51,78.8,47,0,3.36,clear sky
254,Byron Bay,AU,-28.65,153.62,63.0,39,0,9.17,clear sky
255,Kavieng,PG,-2.57,150.8,78.96,81,100,11.1,light rain
256,Harper,LR,4.38,-7.72,75.63,82,100,7.67,overcast clouds
257,Ponta Delgada,PT,37.73,-25.67,71.6,88,75,4.7,broken clouds
258,Noumea,NC,-22.28,166.46,73.0,73,90,4.7,overcast clouds
259,Zeya,RU,53.75,127.27,58.91,87,100,5.37,overcast clouds
260,Quilmana,PE,-12.95,-76.38,59.23,76,78,4.16,broken clouds
261,Verkhoyansk,RU,67.54,133.38,51.55,45,88,8.01,overcast clouds
262,Kushiro,JP,42.98,144.37,68.0,82,20,11.41,few clouds
263,High Level,CA,58.52,-117.14,53.6,100,90,2.24,overcast clouds
264,Dingle,PH,11.0,122.67,87.89,71,75,6.11,light rain
265,Inyonga,TZ,-6.72,32.07,73.63,44,64,10.33,broken clouds
266,Marsh Harbour,BS,26.54,-77.06,85.12,77,0,24.79,clear sky
267,Berezovyy,RU,51.67,135.7,67.19,69,100,4.18,overcast clouds
268,Pucallpa,PE,-8.38,-74.55,66.49,80,58,1.23,broken clouds
269,Pimentel,PE,-6.84,-79.93,59.09,92,6,8.66,clear sky
270,Los Llanos De Aridane,ES,28.66,-17.92,79.0,78,20,11.41,few clouds
271,Puerto Quijarro,BO,-17.78,-57.77,68.16,58,0,1.5,clear sky
272,Rio Gallegos,AR,-51.62,-69.22,30.2,80,0,11.41,clear sky
273,Sitka,US,57.05,-135.33,57.2,87,90,4.7,overcast clouds
274,Lima,PE,-12.04,-77.03,60.8,77,90,9.17,overcast clouds
275,Ushtobe,KZ,45.25,77.98,93.0,14,7,5.75,clear sky
276,Sarakhs,IR,36.54,61.16,84.2,37,0,6.93,clear sky
277,Deputatskiy,RU,69.3,139.9,36.01,83,95,7.23,overcast clouds
278,Campo Grande,BR,-20.44,-54.65,66.2,48,0,20.8,clear sky
279,Hualmay,PE,-11.1,-77.61,59.09,85,61,9.01,broken clouds
280,Kudahuvadhoo,MV,2.67,72.89,83.75,62,78,1.99,broken clouds
281,Abay,KZ,49.63,72.85,64.4,63,20,4.47,light intensity shower rain
282,Yumen,CN,40.28,97.2,91.11,11,7,20.13,clear sky
283,Hofn,IS,64.25,-15.21,47.97,86,100,8.25,overcast clouds
284,Kirkland Lake,CA,48.14,-80.04,55.4,100,1,4.7,mist
285,Codrington,AU,-38.27,141.97,49.39,71,0,8.7,clear sky
286,Bereda,ES,43.27,-7.54,57.0,100,98,4.34,overcast clouds
287,Miandrivazo,MG,-19.52,45.47,82.36,32,0,3.85,clear sky
288,Santa Cruz,BO,-17.8,-63.17,62.6,72,0,9.17,clear sky
289,Kuala Kedah,MY,6.1,100.3,89.6,70,20,4.7,few clouds
290,Bria,CF,6.54,21.99,73.17,89,100,2.57,overcast clouds
291,Kokkola,FI,63.84,23.13,55.99,100,90,3.36,light intensity shower rain
